Date,Open,High,Low,Close,Adj Close,Volume
2019-04-25,169.399994,174.199997,169.199997,171.600006,168.155029,1217320
2019-04-26,172.199997,176.600006,170.800003,171.000000,167.567062,936125
2019-04-29,170.800003,171.800003,169.199997,170.000000,166.587143,688330
2019-04-30,174.000000,177.600006,173.000000,174.000000,170.506851,1004750
2019-05-01,170.399994,176.199997,169.000000,176.000000,172.466690,1374395
2019-05-02,176.000000,181.600006,173.199997,178.000000,174.426544,1666345
2019-05-03,173.800003,174.800003,169.199997,169.600006,166.195175,1144045
2019-05-06,180.199997,181.199997,172.000000,172.600006,169.134949,1802100
2019-05-07,178.399994,187.600006,176.199997,182.800003,179.130173,2869160
2019-05-08,184.399994,186.600006,180.000000,184.199997,180.502060,2028615
2019-05-09,190.399994,195.399994,185.399994,187.199997,183.441849,2724155
2019-05-10,189.600006,199.000000,184.000000,187.000000,183.245865,2905470
2019-05-13,201.000000,208.000000,198.199997,206.399994,202.256409,3432610
2019-05-14,203.000000,205.399994,195.800003,199.600006,195.592911,2423360
2019-05-15,203.600006,203.800003,189.600006,191.399994,187.557526,2412950
2019-05-16,191.000000,191.800003,181.800003,185.600006,181.873962,1840075
2019-05-17,191.000000,191.800003,183.600006,191.399994,187.557526,2478865
2019-05-20,199.199997,203.000000,197.000000,201.000000,196.964798,2133040
2019-05-21,195.800003,197.800003,193.000000,195.199997,191.281235,1476670
2019-05-22,198.399994,198.399994,194.000000,197.399994,193.437057,1375905
2019-05-23,204.199997,210.399994,204.000000,206.399994,202.256409,2174795
2019-05-24,203.050003,207.750000,201.199997,207.600006,203.432312,3087920
2019-05-28,205.250000,209.600006,201.850006,209.600006,205.392151,2645340
2019-05-29,213.300003,218.050003,211.300003,214.699997,210.389755,3614800
2019-05-30,213.000000,215.750000,210.300003,212.050003,207.792969,2275800
2019-05-31,219.600006,222.550003,217.500000,222.199997,217.739197,2911040
2019-06-03,224.149994,240.399994,222.449997,236.449997,231.703110,4135760
2019-06-04,229.350006,231.899994,216.949997,217.399994,213.035553,3091740
2019-06-05,211.100006,219.300003,210.850006,212.449997,208.184937,2833800
2019-06-06,211.649994,214.300003,206.000000,207.500000,203.334305,2567960
2019-06-07,204.399994,205.050003,193.000000,195.699997,191.771194,3049160
2019-06-10,191.600006,191.750000,183.199997,188.850006,185.058731,2629920
2019-06-11,182.949997,190.000000,181.800003,187.899994,184.127792,2826440
2019-06-12,189.649994,192.300003,188.500000,191.199997,187.361542,2192320
2019-06-13,189.050003,190.149994,186.649994,187.949997,184.176773,2142060
2019-06-14,191.149994,192.699997,189.100006,190.600006,186.773590,1760760
2019-06-17,189.449997,189.899994,185.500000,187.000000,183.245865,1751360
2019-06-18,180.500000,181.949997,175.000000,179.100006,175.504456,3327260
2019-06-19,178.100006,181.449997,175.800003,176.949997,173.397629,2225520
2019-06-20,169.699997,176.149994,169.600006,172.250000,168.791977,2483220
2019-06-21,172.949997,174.100006,169.750000,172.850006,169.379929,2278940
2019-06-24,172.149994,173.300003,171.500000,173.100006,169.624924,1251980
2019-06-25,172.199997,181.449997,171.949997,180.550003,178.181168,4065600
2019-06-26,176.949997,179.050003,173.699997,178.250000,175.911346,2456740
2019-06-27,176.350006,177.699997,175.000000,176.350006,174.036270,2120120
2019-06-28,175.000000,177.550003,174.449997,175.750000,173.444122,1976640
2019-07-01,165.649994,171.050003,164.949997,168.699997,166.486633,2714500
2019-07-02,168.899994,170.250000,166.649994,166.699997,164.512863,1807180
2019-07-03,165.550003,166.000000,163.000000,163.050003,160.910767,1558720
2019-07-05,166.300003,168.250000,163.149994,164.000000,161.848297,2571260
2019-07-08,167.199997,169.500000,167.050003,167.550003,165.351730,1980020
2019-07-09,169.949997,170.350006,164.399994,164.899994,162.736481,1713320
2019-07-10,162.100006,162.949997,158.750000,160.100006,157.999466,2854920
2019-07-11,159.399994,162.100006,158.300003,160.500000,158.394226,2284880
2019-07-12,160.100006,160.550003,157.800003,157.850006,155.778992,1544820
2019-07-15,156.699997,158.100006,156.250000,156.399994,154.348007,1299620
2019-07-16,157.050003,160.250000,156.550003,158.800003,156.716537,1747420
2019-07-17,158.699997,161.149994,158.000000,161.100006,158.986359,2067140
2019-07-18,163.550003,165.100006,159.800003,160.500000,158.394226,2981480
2019-07-19,157.300003,164.800003,157.250000,164.300003,162.144363,2740120
2019-07-22,163.050003,163.149994,159.350006,160.350006,158.246185,2434240
2019-07-23,157.750000,161.000000,157.300003,157.350006,155.285553,2260900
2019-07-24,159.100006,159.149994,154.000000,154.000000,151.979492,2387580
2019-07-25,155.550003,159.300003,155.550003,158.399994,156.321762,2936920
2019-07-26,155.500000,155.649994,152.949997,153.649994,151.634079,2295380
2019-07-29,153.949997,158.050003,153.899994,155.100006,153.065079,2403120
2019-07-30,158.699997,159.050003,155.399994,157.149994,155.088165,1890440
2019-07-31,156.000000,168.149994,155.699997,163.699997,161.552231,4569120
2019-08-01,162.949997,168.750000,153.949997,166.199997,164.019424,8186740
2019-08-02,170.000000,176.699997,169.399994,173.899994,171.618393,6492080
2019-08-05,184.550003,196.449997,184.550003,192.250000,189.727661,7921220
2019-08-06,186.899994,191.199997,182.399994,184.050003,181.635254,5214900
2019-08-07,190.100006,194.350006,180.449997,181.649994,179.266724,6457780
2019-08-08,178.600006,180.399994,169.300003,169.500000,167.276123,3772900
2019-08-09,172.000000,178.250000,170.199997,174.300003,172.013168,4685800
2019-08-12,177.500000,182.699997,175.899994,180.250000,177.885101,4571640
2019-08-13,180.600006,181.350006,164.750000,168.399994,166.190567,5333300
2019-08-14,176.600006,184.500000,175.000000,183.649994,181.240479,6485400
2019-08-15,182.600006,188.449997,181.149994,184.250000,181.832626,3836840
2019-08-16,179.699997,179.699997,174.149994,175.550003,173.246765,2800520
2019-08-19,167.949997,169.850006,166.100006,167.649994,165.450394,2349060
2019-08-20,168.500000,171.149994,166.699997,171.000000,168.756454,2274800
2019-08-21,166.500000,168.350006,165.000000,166.550003,164.364838,2364700
2019-08-22,165.800003,172.149994,164.550003,168.250000,166.042542,3088380
2019-08-23,171.750000,185.649994,167.199997,183.649994,181.240479,6729420
2019-08-26,178.100006,181.300003,175.899994,176.100006,173.789536,3465180
2019-08-27,172.399994,179.199997,171.449997,177.050003,174.727081,3714160
2019-08-28,178.899994,181.500000,174.449997,175.500000,173.197418,2805800
2019-08-29,168.800003,170.850006,165.850006,167.300003,165.104996,3177580
2019-08-30,164.699997,171.399994,164.600006,168.449997,166.239899,3229120
2019-09-03,171.949997,175.250000,169.399994,173.350006,171.075623,3148000
2019-09-04,168.699997,169.949997,165.649994,166.100006,163.920761,2604760
2019-09-05,160.699997,160.949997,155.600006,156.949997,154.890793,3881100
2019-09-06,156.250000,158.500000,156.100006,157.350006,155.285553,2505140
2019-09-09,156.000000,160.899994,155.850006,158.449997,156.371124,2339040
2019-09-10,161.050003,164.199997,159.750000,159.800003,157.703400,3018620
2019-09-11,159.100006,160.100006,155.199997,155.500000,153.459824,2538380
2019-09-12,152.600006,154.199997,150.000000,153.449997,151.436707,3048760
2019-09-13,154.100006,155.850006,153.199997,155.149994,153.114410,2100880
2019-09-16,158.199997,158.699997,156.399994,157.350006,155.285553,2954640
2019-09-17,157.350006,158.300003,155.050003,155.199997,153.163757,2132640
2019-09-18,156.100006,161.199997,155.149994,155.350006,153.311798,2683480
2019-09-19,154.550003,155.550003,151.800003,154.699997,152.670303,2332180
2019-09-20,154.000000,161.149994,153.600006,159.350006,157.259323,2528040
2019-09-23,159.949997,161.399994,158.000000,159.449997,157.357986,1973640
2019-09-24,157.300003,167.850006,156.300003,165.750000,163.575348,4716800
2019-09-25,165.399994,169.500000,158.050003,159.350006,158.141861,2961560
2019-09-26,160.000000,164.750000,159.649994,161.100006,159.878601,2512860
2019-09-27,160.449997,170.550003,160.149994,166.949997,165.684235,4024160
2019-09-30,165.399994,166.300003,161.699997,162.550003,161.317596,2051940
2019-10-01,160.800003,167.350006,158.000000,166.449997,165.188019,3874040
2019-10-02,169.899994,177.949997,169.899994,175.050003,173.722824,4330100
2019-10-03,175.199997,181.600006,169.100006,169.149994,167.867538,4107740
2019-10-04,166.949997,167.300003,161.300003,162.000000,160.771759,2863560
2019-10-07,163.550003,164.399994,159.699997,163.649994,162.409241,2721340
2019-10-08,166.649994,171.250000,164.500000,170.949997,169.653900,4371860
2019-10-09,166.449997,168.100006,163.550003,165.800003,164.542953,2901100
2019-10-10,165.750000,166.250000,160.149994,162.100006,160.871002,3037820
2019-10-11,156.649994,156.850006,152.000000,156.050003,154.866867,4960280
2019-10-14,156.600006,157.050003,154.449997,155.899994,154.718002,1986500
2019-10-15,154.550003,154.750000,148.949997,150.050003,148.912369,3586480
2019-10-16,151.500000,152.600006,150.050003,151.100006,149.954407,2664360
2019-10-17,148.449997,151.750000,147.800003,150.000000,148.862747,1930480
2019-10-18,150.649994,156.600006,149.800003,154.250000,153.080521,3076940
2019-10-21,152.100006,153.350006,150.000000,150.250000,149.110840,1678380
2019-10-22,148.750000,154.000000,148.000000,153.800003,152.633926,2288440
2019-10-23,155.000000,155.600006,152.949997,153.000000,151.839996,1759540
2019-10-24,149.750000,151.850006,148.399994,148.600006,147.473358,2903160
2019-10-25,150.899994,151.050003,144.899994,145.250000,144.148758,2770360
2019-10-28,143.000000,143.100006,140.250000,140.750000,139.682877,2019880
2019-10-29,141.500000,144.199997,140.949997,144.050003,142.957855,2132780
2019-10-30,143.350006,145.800003,141.350006,142.050003,140.973022,2331460
2019-10-31,140.949997,144.399994,140.699997,141.949997,140.873764,2672700
2019-11-01,140.100006,140.800003,138.100006,138.100006,137.052963,2284560
2019-11-04,135.300003,136.300003,134.649994,135.600006,134.571930,2354100
2019-11-05,135.000000,136.699997,134.600006,135.500000,134.472672,2130100
2019-11-06,135.850006,138.300003,135.800003,136.300003,135.266617,2207820
2019-11-07,134.199997,136.149994,132.300003,135.000000,133.976456,2390580
2019-11-08,135.800003,136.800003,133.350006,133.350006,132.338974,1872880
2019-11-11,135.350006,135.949997,133.800003,133.949997,132.934418,1214180
2019-11-12,133.600006,134.250000,131.449997,132.800003,131.793152,2068620
2019-11-13,134.199997,134.500000,132.350006,133.000000,131.991623,2158240
2019-11-14,134.250000,135.500000,132.800003,133.050003,132.041260,1883360
2019-11-15,130.800003,132.000000,130.350006,130.600006,129.609833,1919580
2019-11-18,130.750000,132.399994,129.250000,129.800003,128.815887,2461000
2019-11-19,128.500000,130.850006,128.449997,129.399994,128.418915,2229680
2019-11-20,130.350006,134.600006,129.199997,131.750000,130.751114,3317620
2019-11-21,132.149994,133.850006,131.850006,132.699997,131.693893,2586500
2019-11-22,131.550003,134.550003,131.399994,132.350006,131.346573,2060180
