Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,99.300003,99.790001,98.519997,98.589996,91.757294,10150500
2018-01-03,98.849998,100.000000,98.769997,99.449997,92.557701,8903600
2018-01-04,99.540001,99.779999,98.910004,99.540001,92.641449,6830400
2018-01-05,99.639999,100.379997,99.610001,100.129997,93.190575,7284000
2018-01-08,100.250000,101.750000,100.209999,101.610001,94.568008,8843900
2018-01-09,102.029999,102.349998,100.309998,100.389999,93.432549,7312700
2018-01-10,99.750000,99.889999,98.529999,99.669998,92.762451,7930400
2018-01-11,99.699997,100.449997,98.779999,100.019997,93.088188,6537700
2018-01-12,100.389999,101.440002,100.300003,100.870003,93.879295,6951200
2018-01-16,101.339996,101.910004,100.339996,100.690002,93.711761,7170700
2018-01-17,101.150002,102.940002,100.699997,102.699997,95.582458,8681900
2018-01-18,104.739998,104.940002,103.620003,104.300003,97.071587,12307900
2018-01-19,104.639999,104.930000,103.660004,104.589996,97.341469,8378600
2018-01-22,104.500000,105.449997,104.040001,105.449997,98.141853,7308300
2018-01-23,105.290001,106.150002,104.570000,105.900002,98.560669,8287800
2018-01-24,106.349998,106.440002,104.820000,105.790001,98.458305,6823100
2018-01-25,105.849998,106.809998,105.849998,106.599998,99.212181,5857100
2018-01-26,107.000000,108.410004,106.680000,108.389999,100.878120,6786300
2018-01-29,108.110001,109.980003,107.989998,109.550003,101.957741,8355200
2018-01-30,109.139999,109.360001,107.150002,107.730003,100.263840,9180500
2018-01-31,107.769997,108.180000,106.070000,106.599998,99.212181,9812800
2018-02-01,105.959999,106.559998,105.180000,105.519997,98.207008,6386800
2018-02-02,105.150002,106.470001,104.150002,104.480003,97.239105,9253100
2018-02-05,103.400002,104.610001,97.089996,100.089996,93.153336,12561600
2018-02-06,97.639999,101.080002,97.250000,100.900002,93.907211,16413800
2018-02-07,100.500000,104.589996,100.010002,102.849998,95.722054,11165200
2018-02-08,103.230003,103.480003,100.000000,100.019997,93.088188,13975100
2018-02-09,100.529999,101.099998,96.430000,99.370003,92.483253,14184600
2018-02-12,100.129997,100.449997,98.800003,99.550003,92.650772,9135100
2018-02-13,99.330002,101.220001,99.330002,100.980003,93.981674,6622800
2018-02-14,100.860001,102.250000,100.209999,101.699997,94.651764,7307600
2018-02-15,102.550003,103.639999,101.830002,103.230003,96.075745,7494900
2018-02-16,103.089996,104.940002,101.980003,104.779999,97.518311,16064300
2018-02-20,96.989998,97.940002,94.099998,94.110001,87.587791,52088500
2018-02-21,95.110001,95.339996,91.239998,91.519997,85.177277,49503700
2018-02-22,91.430000,93.389999,91.309998,92.769997,86.340660,20365000
2018-02-23,92.879997,93.489998,91.760002,92.889999,86.452354,12791500
2018-02-26,92.900002,93.800003,92.220001,93.120003,86.666397,14699300
2018-02-27,93.629997,93.720001,91.510002,91.519997,85.177277,13376100
2018-02-28,92.000000,92.099998,90.000000,90.010002,83.771927,14143700
2018-03-01,90.169998,90.180000,87.709999,89.080002,82.906380,18909600
2018-03-02,87.269997,88.900002,87.239998,88.769997,82.617867,19043400
2018-03-05,88.139999,90.500000,88.070000,89.980003,83.744011,13383200
2018-03-06,90.349998,90.500000,88.629997,89.059998,82.887772,11054700
2018-03-07,87.980003,88.529999,87.339996,87.739998,81.659256,11453000
2018-03-08,87.769997,88.129997,87.339996,87.919998,82.314613,9588700
2018-03-09,88.239998,88.720001,87.529999,88.720001,83.063614,9754400
2018-03-12,88.699997,89.440002,87.879997,88.070000,82.455063,8474000
2018-03-13,88.389999,88.900002,87.980003,88.300003,82.670395,7173000
2018-03-14,88.510002,88.989998,87.500000,87.669998,82.080559,11040600
2018-03-15,87.680000,88.790001,85.900002,87.510002,81.930771,16615200
2018-03-16,87.720001,90.089996,87.500000,89.169998,83.484932,28396000
2018-03-19,88.910004,89.080002,87.099998,87.449997,81.874573,12053400
2018-03-20,87.860001,88.150002,87.370003,87.949997,82.342720,8258000
