Date,Open,High,Low,Close,Adj Close,Volume
2018-06-27,139.110001,139.779999,137.449997,137.479996,117.481544,4101800
2018-06-28,138.100006,140.539993,137.949997,140.039993,119.669128,4523700
2018-06-29,140.320007,141.360001,139.610001,139.699997,119.378624,3710100
2018-07-02,138.279999,140.220001,138.199997,139.860001,119.515320,3405400
2018-07-03,140.649994,140.940002,139.369995,139.570007,119.267525,1963200
2018-07-05,140.479996,141.429993,139.929993,141.429993,120.856941,3744700
2018-07-06,141.529999,142.940002,141.169998,142.479996,121.754227,2849000
2018-07-09,142.589996,144.720001,142.470001,144.389999,123.386383,3904700
2018-07-10,144.509995,145.589996,144.259995,144.710007,123.659843,3777000
2018-07-11,144.000000,146.190002,144.000000,144.940002,123.856384,3526600
2018-07-12,145.850006,146.830002,145.740005,146.449997,125.146713,3119500
2018-07-13,146.449997,146.979996,145.800003,145.899994,124.676704,3062600
2018-07-16,145.669998,145.789993,144.210007,145.460007,124.300751,3468800
2018-07-17,144.750000,145.000000,143.339996,143.490005,122.617302,5096700
2018-07-18,143.509995,144.800003,142.740005,144.520004,123.497475,6935300
2018-07-19,147.850006,150.539993,147.250000,149.240005,127.530884,14655800
2018-07-20,148.580002,148.860001,146.259995,146.350006,125.061279,6414600
2018-07-23,146.350006,146.699997,145.009995,145.699997,124.505829,3897900
2018-07-24,146.699997,147.039993,145.919998,146.380005,125.086884,3891600
2018-07-25,146.009995,146.649994,145.500000,146.619995,125.291992,3630900
2018-07-26,147.429993,149.270004,146.630005,146.710007,125.368927,4778000
2018-07-27,146.889999,147.139999,144.660004,145.149994,124.035828,3749300
2018-07-30,144.800003,146.240005,144.690002,145.490005,124.326363,3608200
2018-07-31,145.740005,145.800003,144.160004,144.929993,123.847839,5474200
2018-08-01,144.759995,145.190002,143.339996,143.500000,122.625847,3388400
2018-08-02,142.860001,143.360001,142.330002,142.960007,122.164391,3841400
2018-08-03,143.240005,147.919998,143.000000,147.699997,126.214890,8053600
2018-08-06,146.949997,147.199997,145.570007,146.029999,124.787804,3913700
2018-08-07,146.649994,147.639999,146.350006,147.009995,125.625244,3508800
2018-08-08,147.330002,147.429993,146.240005,146.889999,125.522690,3581100
2018-08-09,145.529999,145.940002,144.729996,144.770004,125.047638,3093500
2018-08-10,144.500000,145.070007,143.880005,144.479996,124.797142,3003100
2018-08-13,144.149994,144.300003,142.529999,142.710007,123.268288,2858500
2018-08-14,143.000000,143.820007,142.929993,143.360001,123.829727,2860000
2018-08-15,142.550003,144.000000,142.000000,143.910004,124.304810,4241500
2018-08-16,144.369995,145.679993,144.369995,145.339996,125.540001,5250700
2018-08-17,144.789993,146.389999,144.690002,146.059998,126.161919,2678600
2018-08-20,146.369995,147.160004,146.149994,146.509995,126.550598,2499700
2018-08-21,147.000000,147.119995,145.889999,145.970001,126.084183,3106900
2018-08-22,146.009995,146.160004,145.190002,145.240005,125.453636,2389000
2018-08-23,145.039993,145.520004,144.750000,145.369995,125.565895,2220400
2018-08-24,145.460007,146.089996,144.869995,146.039993,126.144630,2776600
2018-08-27,146.940002,147.619995,146.520004,146.690002,126.706085,3491600
2018-08-28,146.949997,146.990005,146.190002,146.589996,126.619705,2455300
2018-08-29,146.869995,147.929993,146.600006,147.539993,127.440262,3153800
2018-08-30,147.029999,147.300003,145.250000,145.929993,126.049622,3340400
2018-08-31,145.720001,146.779999,145.539993,146.479996,126.524673,3488500
2018-09-04,145.979996,146.190002,144.809998,145.679993,125.833672,3326200
2018-09-05,145.190002,146.750000,145.050003,146.660004,126.680161,3126500
2018-09-06,146.880005,147.660004,145.539993,146.389999,126.446968,4248800
2018-09-07,145.940002,146.500000,145.119995,145.449997,125.634987,4693100
2018-09-10,146.600006,147.300003,145.559998,145.649994,125.807777,3618300
2018-09-11,146.000000,146.990005,145.250000,146.490005,126.533302,3374700
2018-09-12,146.369995,147.979996,146.029999,146.570007,126.602448,4506700
